Kennzeichen;Identnummer;Bankleitzahl;Institutsart;Sektor;Firmenbuchnummer;Bankenname;Straße;PLZ;Ort;Politischer Bezirk;Postadresse / Straße;Postadresse / PLZ;Postadresse / Ort;Postfach;Bundesland;Telefon;Fax;E-Mail;SWIFT-Code;Homepage;Gruendungsdatum;ZweigniederlassungVon
Zweigstelle;340995;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Aspach;Mettmacher Straße 1;5252;Aspach;Braunau am Inn;;;;;Oberösterreich;050100/40153;050100/940153;;;;;1474421
Zweigstelle;339954;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Asten;Wiener Straße 16;4481;Asten;Linz-Land;;;;;Oberösterreich;050100/40046;050100/940046;;;;;1474421
Zweigstelle;341711;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Attnang;Dr.Karl- Renner-Platz 7;4800;Attnang-Puchheim;Vöcklabruck;;;;;Oberösterreich;050100/40062;050100/940062;;;;19710703;1474421
Zweigstelle;340740;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Auhof;Altenbergerstraße 6-8;4040;Linz;Linz;;4021;Linz;92;Oberösterreich;050100/40019;050100/940019;;;;;1474421
Zweigstelle;340081;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Bad Schallerbach;Badstraße 23;4701;Bad Schallerb.;Grieskirchen;;;;;Oberösterreich;050100/40123;050100/940123;;;;;1474421
Zweigstelle;340758;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Biesenfeld;Dornacherstraße 11;4040;Linz;Linz;;4021;Linz;92;Oberösterreich;050100/40011;050100/940011;;;;;1474421
Zweigstelle;16144821;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Bindermichl;Am Bindermichl 56;4020;Linz;Linz;;;;;Oberösterreich;050100/40035;050100/940035;;;;20121018;1474421
Zweigstelle;341770;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Buchkirchen;Feldstraße 21;4611;Buchkirchen;Wels-Land;;;;;Oberösterreich;050100/40112;050100/940112;;;;19780703;1474421
Zweigstelle;340588;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Doppl;Martinistraße 2;4060;Leonding;Linz-Land;;4021;Linz;92;Oberösterreich;050100/40007;050100/940007;;;;;1474421
Zweigstelle;341720;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Dürnau;Dürnauer Straße 92;4840;Vöcklabruck;Vöcklabruck;;;;;Oberösterreich;050100/40063;050100/940063;;;;19771022;1474421
Zweigstelle;340618;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Ebelsberg;Wiener Straße 492;4030;Linz;Linz;;4021;Linz;92;Oberösterreich;050100/40014;050100/940014;;;;;1474421
Zweigstelle;1662821;20320;;Sparkassen;78633m;Allgemeine Sparkasse Oberösterreich BankAG Filiale Enns;Hauptplatz 2;4470;Enns;Linz-Land;;4470;Enns;9;Oberösterreich;050100/40044;050100/940044;;;;19911209;1474421
Zweigstelle;339946;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Ennsdorf;Amtshausstraße 3;4482;Ennsdorf;Amstetten;;;;;Niederösterreich;050100/40045;050100/940045;;;;;1474421
Zweigstelle;341592;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Esternberg;Hauptstraße 46;4092;Esternberg;Schärding;;;;;Oberösterreich;050100/40072;050100/940072;;;;;1474421
Zweigstelle;340782;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Feldkirchen an der Donau;Marktplatz 3;4101;Feldkirchen;Urfahr-Umgebung;;4101;Feldk./Donau;92;Oberösterreich;050100/40076;050100/940076;;;;;1474421
Zweigstelle;340812;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Flughafen;Flughafenstraße 1;4063;Hörsching;Linz-Land;;4063;Hörsching;92;Oberösterreich;050100/40074;050100/940074;;;;;1474421
Zweigstelle;340693;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Franckstraße;Franckstraße 41;4020;Linz;Linz;;4021;Linz;92;Oberösterreich;050100/40005;050100/940005;;;;;1474421
Zweigstelle;3672093;20320;;Sparkassen;78633m;Allgemeine Sparkasse Oberösterreich BankAG Filiale Freistadt;Hauptplatz 15;4240;Freistadt;Freistadt;;4240;Freistadt;160;Oberösterreich;050100/40160;050100/940160;;;;19970801;1474421
Zweigstelle;340006;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Freistadt-Zemannstraße;Zemannstraße 49;4240;Freistadt;Freistadt;;4240;Freistadt;24;Oberösterreich;050100/40162;050100/940162;;;;;1474421
Zweigstelle;340804;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Gallneukirchen;Sparkassenplatz 1;4210;Gallneukirchen;Urfahr-Umgebung;;4210;Gallneukirchen;92;Oberösterreich;050100/40023;050100/940023;;;;;1474421
Zweigstelle;340065;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Gallspach;Am Neumarkt 1;4713;Gallspach;Grieskirchen;;;;;Oberösterreich;050100/40124;050100/940124;;;;;1474421
Zweigstelle;341894;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Gartenstadt;Wimpassinger Straße 48;4600;Wels;Wels;;4601;Wels;186;Oberösterreich;050100/40117;050100/940117;;;;19831014;1474421
Zweigstelle;1686305;20320;;Sparkassen;78633m;Allgemeine Sparkasse Oberösterreich BankAG Filiale Gmunden;Sparkassegasse 2;4810;Gmunden;Gmunden;;4810;Gmunden;88;Oberösterreich;050100/40190;050100/940190;;;;19930610;1474421
Zweigstelle;340022;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Gmunden/Klosterplatz;Klosterplatz 11;4810;Gmunden;Gmunden;;;;;Oberösterreich;050100/40194;050100/940194;;;;;1474421
Zweigstelle;340820;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Gramastetten;Marktstraße 36;4201;Gramastetten;Urfahr-Umgebung;;4201;Gramastetten;92;Oberösterreich;050100/40033;050100/940033;;;;;1474421
Zweigstelle;341070;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Grein;Stadtplatz 10;4360;Grein;Perg;;4360;Grein;38;Oberösterreich;050100/40187;050100/940187;;;;;1474421
Zweigstelle;1649655;20320;;Sparkassen;78633m;Allgemeine Sparkasse Oberösterreich BankAG Filiale Grieskirchen;Roßmarkt 35;4710;Grieskirchen;Grieskirchen;;;;;Oberösterreich;050100/40121;050100/940121;;;;19930610;1474421
Zweigstelle;340197;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Großraming;Lumplgraben 1;4463;Großraming;Steyr-Land;;;;;Oberösterreich;050100/40059;050100/940059;;;;;1474421
Zweigstelle;340634;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Gruberstraße;Gruberstraße 45;4020;Linz;Linz;;4021;Linz;92;Oberösterreich;050100/40012;050100/940012;;;;;1474421
Zweigstelle;1662872;20320;;Sparkassen;78633m;Allgemeine Sparkasse Oberösterreich BankAG Filiale Grünburg-Weyer;Hauptstraße 25;4594;Grünburg;Kirchdorf an der Krems;;4594;Grünburg;4;Oberösterreich;050100/40056;050100/940056;;;;19911209;1474421
Zweigstelle;341851;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Gunskirchen;Welser Straße 3;4623;Gunskirchen;Wels-Land;;;;;Oberösterreich;050100/40104;050100/940104;;;;19700626;1474421
Zweigstelle;341541;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Haibach;Haibach 9;4785;Freinberg;Schärding;;;;;Oberösterreich;050100/40070;050100/940070;;;;;1474421
Zweigstelle;341525;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Haid;Hauptplatz 42;4053;Haid;Linz-Land;;;;;Oberösterreich;050100/40171;050100/940171;;;;;1474421
Zweigstelle;340677;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Harbach;Leonfeldner Straße 97;4040;Linz;Linz;;4021;Linz;92;Oberösterreich;050100/40008;050100/940008;;;;;1474421
Zweigstelle;340731;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Harter Plateau;Poststraße 8;4060;Leonding;Linz-Land;;4021;Linz;92;Oberösterreich;050100/40021;050100/940021;;;;;1474421
Zweigstelle;340901;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Hellmonsödt;Marktplatz 17;4202;Hellmonsödt;Urfahr-Umgebung;;;;;Oberösterreich;050100/40027;050100/940027;;;;;1474421
Zweigstelle;341746;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Höllwiesen;Grieskirchner Straße 72;4600;Wels;Wels;;;;;Oberösterreich;050100/40113;050100/940113;;;;19780629;1474421
Zweigstelle;340642;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Holzstraße;Holzstraße 22;4020;Linz;Linz;;4021;Linz;92;Oberösterreich;050100/40018;050100/940018;;;;;1474421
Zweigstelle;340880;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Hörsching;Neubauerstraße 26;4063;Hörsching;Linz-Land;;4063;Hörsching;92;Oberösterreich;050100/40026;050100/940026;;;;;1474421
Zweigstelle;341797;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Industriegelände;Boschstraße 42;4600;Wels;Wels;;4600;Wels;186;Oberösterreich;050100/40110;050100/940110;;;;19780612;1474421
Zweigstelle;340715;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Industriezone;Industriezeile 70;4020;Linz;Linz;;4021;Linz;92;Oberösterreich;050100/40017;050100/940017;;;;;1474421
Zweigstelle;7905947;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Kammer-Schörfling;Hauptstraße 7a;4861;Schörfling;Vöcklabruck;;;;;Oberösterreich;050100/40148;;;;;20070226;1474421
Zweigstelle;341045;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Katsdorf;Linzerstraße 3;4223;Katsdorf;Perg;;;;;Oberösterreich;050100/40186;050100/940186;;;;;1474421
Zweigstelle;340774;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Keferfeld;Unionstraße 94;4020;Linz;Linz;;4021;Linz;92;Oberösterreich;050100/40015;050100/940015;;;;;1474421
Zweigstelle;340910;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Kepler-Universität;Altenbergerstraße 69;4040;Linz;Linz;;4021;Linz;92;Oberösterreich;050100/40075;050100/940075;;;;;1474421
Zweigstelle;340650;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Kleinmünchen;Dauphinestraße 62;4030;Linz;Linz;;4021;Linz;92;Oberösterreich;050100/40006;050100/940006;;;;;1474421
Zweigstelle;1313177;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Klinikum Wels;Grieskirchner Straße 42;4600;Wels;Wels;;4601;Wels;186;Oberösterreich;050100/40127;050100/940127;;;;19891106;1474421
Zweigstelle;377139;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Kopfing;Sportplatzstraße 177;4794;Kopfing im Innkreis;Schärding;;;;;Oberösterreich;050100/40135;050100/940135;;;;;1474421
Zweigstelle;339962;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Kronstorf;Hauptstraße 52;4484;Kronstorf;Linz-Land;;;;;Oberösterreich;050100/40047;050100/940047;;;;;1474421
Zweigstelle;340030;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Laakirchen;Stifterstraße 5;4663;Laakirchen;Gmunden;;;;;Oberösterreich;050100/40191;050100/940191;;;;;1474421
Zweigstelle;196860;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Landstraße;Landstraße 55 - 57;4020;Linz;Linz;;4021;Linz/Donau;92;Oberösterreich;050100/40009;050100/940009;;;;19700310;1474421
Zweigstelle;9375279;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Langholzfeld;Adalbert-Stifter-Straße 31;4061;Pasching;Linz-Land;;;;;Oberösterreich;050100/40037;050100/940037;;;;20090730;1474421
Zweigstelle;530050;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Lenzing;Hauptstraße 11;4860;Lenzing;Vöcklabruck;;;;;Oberösterreich;050100/40065;050100/940065;;;;19881001;1474421
Zweigstelle;340855;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Leonding;Rathausgasse 1;4060;Leonding;Linz-Land;;4021;Linz;92;Oberösterreich;050100/40032;050100/940032;;;;;1474421
Zweigstelle;341843;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Lichtenegg;Lindenstraße 9;4600;Wels;Wels;;4601;Wels;186;Oberösterreich;050100/40103;050100/940103;;;;19700710;1474421
Zweigstelle;1855719;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Lorch;Lauriacumstraße 11;4470;Enns;Linz-Land;;;;;Oberösterreich;050100/40066;050100/940066;;;;19921201;1474421
Zweigstelle;340154;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Losenstein;Eisenstraße 101;4460;Losenstein;Steyr-Land;;;;;Oberösterreich;050100/40057;050100/940057;;;;;1474421
Zweigstelle;341860;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Marchtrenk;Bahnhofstraße 8;4614;Marchtrenk;Wels-Land;;;;;Oberösterreich;050100/40102;050100/940102;;;;19591030;1474421
Zweigstelle;3615766;20320;;Sparkassen;78633m;Allgemeine Sparkasse Oberösterreich BankAG Filiale Mauerkirchen;Obermarkt 32;5270;Mauerkirchen;Braunau am Inn;;;;;Oberösterreich;050100/40150;050100/940150;;;;19970801;1474421
Zweigstelle;1626965;20320;;Sparkassen;78633m;Allgemeine Sparkasse Oberösterreich BankAG Filiale Mauthausen;Poschacherstraße 2;4310;Mauthausen;Perg;;4310;Mauthausen;33;Oberösterreich;050100/40180;050100/940180;;;;19930610;1474421
Zweigstelle;340227;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Molln;Marktstraße 3;4591;Molln;Kirchdorf an der Krems;;;;;Oberösterreich;050100/40049;050100/940049;;;;;1474421
Zweigstelle;340561;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Muldenstraße;Muldenstraße 54;4020;Linz;Linz;;4021;Linz;92;Oberösterreich;050100/40010;050100/940010;;;;;1474421
Zweigstelle;341550;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Münzkirchen;Hofmark 17;4792;Münzkirchen;Schärding;;;;;Oberösterreich;050100/40069;050100/940069;;;;;1474421
Zweigstelle;341215;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Naarn;Marktplatz 5;4331;Naarn;Perg;;;;;Oberösterreich;050100/40042;050100/940042;;;;19790616;1474421
Zweigstelle;330515;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Nettingsdorf;Bahnhofstraße 3;4053;Nettingsdorf;Linz-Land;;;;;Oberösterreich;050100/40174;050100/940174;;;;;1474421
Zweigstelle;340766;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Neue Heimat;Vogelfaengerweg 17;4030;Linz;Linz;;4021;Linz;92;Oberösterreich;050100/40004;050100/940004;;;;;1474421
Zweigstelle;340073;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Neumarkt i.H.;Marktplatz 26;4720;Neumarkt/Hausr.;Grieskirchen;;4720;Neumarkt/Hausr.;31;Oberösterreich;050100/40122;050100/940122;;;;;1474421
Zweigstelle;339997;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Neumarkt i.M.;Linzer Straße 2;4212;Neumarkt im Mühlkreis;Freistadt;;;;;Oberösterreich;050100/40163;050100/940163;;;;;1474421
Zweigstelle;341835;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Neustadt;Eferdinger Straße 2;4600;Wels;Wels;;4601;Wels;186;Oberösterreich;050100/40101;050100/940101;;;;19580107;1474421
Zweigstelle;2003546;20320;;Sparkassen;78633m;Allgemeine Sparkasse Oberösterreich BankAG Filiale Obernberg/Inn;Marktplatz 10;4982;Obernberg/Inn;Ried im Innkreis;;;;;Oberösterreich;050100/40140;050100/940140;;;;19931018;1474421
Zweigstelle;423947;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Ohlsdorf;Hauptstraße 11;4694;Ohlsdorf;Gmunden;;;;;Oberösterreich;050100/40195;050100/940195;;;;;1474421
Zweigstelle;340685;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Ottensheim;Marktplatz 23;4100;Ottensheim;Urfahr-Umgebung;;4100;Ottensheim;92;Oberösterreich;050100/40029;050100/940029;;;;;1474421
Zweigstelle;341614;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Ottnang;Attnanger Straße 2;4901;Ottnang am Hausruck;Vöcklabruck;;;;;Oberösterreich;050100/40146;050100/940146;;;;;1474421
Zweigstelle;1662767;20320;;Sparkassen;78633m;Allgemeine Sparkasse Oberösterreich BankAG Filiale Perg;Hauptplatz 7;4320;Perg;Perg;;4320;Perg;79;Oberösterreich;050100/40041;050100/940041;;;;19911216;1474421
Zweigstelle;341827;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Pernau;Steiningerweg 1;4600;Wels;Wels;;4600;Wels;186;Oberösterreich;050100/40105;050100/940105;;;;19701214;1474421
Zweigstelle;341924;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Pichl bei Wels;Innbachtalstraße 15;4632;Pichl/Wels;Wels-Land;;;;;Oberösterreich;050100/40114;050100/940114;;;;19800801;1474421
Zweigstelle;341509;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Pichling;Traundorferstraße 138;4030;Linz;Linz;;;;;Oberösterreich;050100/40175;050100/940175;;;;;1474421
Zweigstelle;2003627;20320;;Sparkassen;78633m;Allgemeine Sparkasse Oberösterreich BankAG Filiale Raab;Marktstraße 113;4760;Raab;Schärding;;;;;Oberösterreich;050100/40130;050100/940130;;;;19931019;1474421
Zweigstelle;1777912;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Rainbach;Marktplatz 11;4261;Rainbach im Mühlkreis;Freistadt;;4261;Rainbach/Mkr.;11;Oberösterreich;050100/40161;050100/940161;;;;19920601;1474421
Zweigstelle;16422244;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Regau;Betriebsstraße 9;4844;Regau;Vöcklabruck;;;;;Oberösterreich;050100/40149;;;;;20130215;1474421
Zweigstelle;8441391;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Ried im Innkreis;Bahnhofstraße 3;4910;Ried im Innkreis;Ried im Innkreis;;;;;Oberösterreich;050100/40077;;;;;20080125;1474421
Zweigstelle;341096;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Ried in der Riedmark;Marktplatz 4;4312;Ried/Riedmark;Perg;;;;;Oberösterreich;050100/40183;050100/940183;;;;;1474421
Zweigstelle;341959;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Riedau;Marktplatz 10;4752;Riedau;Schärding;;;;;Oberösterreich;050100/40133;050100/940133;;;;;1474421
Zweigstelle;340669;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Rudolfstraße;Rudolfstraße 11;4040;Linz;Linz;;4021;Linz;92;Oberösterreich;050100/40022;050100/940022;;;;;1474421
Zweigstelle;341088;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Saxen;Saxen 75;4351;Saxen;Perg;;;;;Oberösterreich;050100/40188;050100/940188;;;;;1474421
Zweigstelle;1855018;20320;;Sparkassen;78633m;Allgemeine Sparkasse Oberösterreich BankAG Filiale Schärding;Oberer Stadtplatz 24;4780;Schärding;Schärding;;;;;Oberösterreich;050100/40068;050100/940068;;;;19930503;1474421
Zweigstelle;340014;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Scharnstein;Hauptstraße 6;4644;Scharnstein;Gmunden;;;;;Oberösterreich;050100/40193;050100/940193;;;;;1474421
Zweigstelle;340103;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Schlüßlberg;Marktplatz 2;4707;Schlüßlberg;Grieskirchen;;;;;Oberösterreich;050100/40126;050100/940126;;;;;1474421
Zweigstelle;340928;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Schönering;Eferdinger Straße 1;4073;Wilhering;Linz-Land;;;;;Oberösterreich;050100/40031;050100/940031;;;;;1474421
Zweigstelle;3418391;20320;;Sparkassen;78633m;Allgemeine Sparkasse Oberösterreich BankAG Filiale Schwanenstadt;Stadtplatz 41-42;4690;Schwanenstadt;Vöcklabruck;;4690;Schwanenstadt;81;Oberösterreich;050100/40145;050100/940145;;;;19961212;1474421
Zweigstelle;341118;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Schwertberg;Marktplatz 11;4311;Schwertberg;Perg;;;;;Oberösterreich;050100/40182;050100/940182;;;;;1474421
Zweigstelle;341940;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Sigharting;Hofmark 3;4771;Sigharting;Schärding;;;;;Oberösterreich;050100/40132;050100/940132;;;;;1474421
Zweigstelle;340553;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Steyregg;Linzer Straße 16c;4221;Steyregg;Urfahr-Umgebung;;4221;Steyregg;92;Oberösterreich;050100/40016;050100/940016;;;;;1474421
Zweigstelle;6624642;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Steyr-Pachergasse;Pachergasse 4a;4400;Steyr;Steyr;;;;;Oberösterreich;050100/40176;050100/940176;;;;20040823;1474421
Zweigstelle;1845101;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Steyr-Tabor;Kaserngasse 1a;4400;Steyr;Steyr;;;;;Oberösterreich;050100/40067;050100/940067;;;;19920928;1474421
Zweigstelle;1511319;20320;;Sparkassen;78633m;Allgemeine Sparkasse Oberösterreich BankAG Filiale St.Florian;Marktplatz 11;4490;St.Florian/Linz;Linz-Land;;;;;Oberösterreich;050100/40170;050100/940170;;;;19930610;1474421
Zweigstelle;341100;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale St.Georgen/Gusen;Mauthausener Straße 6;4222;St.Georgen/Gusen;Perg;;;;;Oberösterreich;050100/40181;050100/940181;;;;;1474421
Zweigstelle;341061;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale St.Georgen/Walde;Markt 5;4372;St.Georgen/Walde;Perg;;;;;Oberösterreich;050100/40178;050100/940178;;;;;1474421
Zweigstelle;341193;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale St.Martin i.I.;Diesseits 11;4973;St.Martin im Innkreis;Ried im Innkreis;;;;;Oberösterreich;050100/40143;050100/940143;;;;;1474421
Zweigstelle;341584;20320;;Sparkassen;;Allgemeine Sparkasse Oberösterreich BankAG Filiale Taufkirchen;Eferdinger Straße 4b;4775;Taufkirchen/Pram;Schärding;;;;;Oberösterreich;050100/40073;050100/940073;;;;;1474421
